1,1,1,1
1,1,1,1
1,1,1,1
0.998,1,1,1
1,1,1,1
1,1,1,1
0.998,0.998,1,1
1,1,1,1
1,1,1,1
0.994,0.998,0.998,1
0.994,0.996,0.998,1
0.996,0.996,0.998,1
0.996,0.996,1,1
1,1,1,1
0.998,0.998,1,1
1,1,1,1
0.998,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
0.998,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
0.998,0.998,1,1
0.998,1,1,1
0.998,1,1,1
1,1,1,1
1,1,1,1
0.996,1,1,1
0.998,0.998,1,1
0.998,0.998,1,1
1,1,1,1
1,1,1,1
1,1,1,1
0.998,0.998,0.998,1
1,1,1,1
1,1,1,1
0.998,0.998,0.998,1
1,1,1,1
0.998,0.998,1,1
0.998,1,1,1
0.998,1,1,1
1,1,1,1
0.998,0.998,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
